Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Una estructura vuelca cuando...";"";"";"El centro de gravedad cae fuera de la base de apoyo.";"El centro de gravedad cae fuera del baricentro.";"El centro de estabilidad cae fuera de la base de apoyo.";"El centro de masas cae sobre la base de apoyo.";"";"";"es-mecan-estabilidad"
"Cuando el centro de gravedad de una estructura no se encuentra sobre la base de apoyo...";"";"";"La estructura vuelca.";"La estructura se rompe.";"La estructura se deforma.";"La estructura se mueve.";"";"";"es-mecan-estabilidad"
"El centro de gravedad es...";"";"";"El punto medio de toda la masa de la estructura.";"El punto mediano de toda la masa de la estructura.";"El baricentro de toda la masa de la estructura.";"El circuncentro de toda la masa de la estructura.";"";"";"es-mecan-estabilidad"
"El punto medio de toda la masa de la estructura se denomina...";"";"";"Centro de gravedad.";"Centro de estabilidad.";"Centro de masas extremas.";"Centro de deformación.";"";"";"es-mecan-estabilidad"
"¿Qué representa esta figura de un camión visto desde atrás?";"../images/centro-gravedad-02.png";"240";"Un centro de gravedad que cae dentro de la base de apoyo. El camión no volcará.";"Un centro de gravedad que cae dentro de la base de apoyo. El camión volcará.";"Un centro de gravedad que cae fuera de la base de apoyo. El camión no volcará.";"Un centro de gravedad que cae fuera de la base de apoyo. El camión volcará.";"";"";"es-mecan-estabilidad"
"¿Qué representa esta figura de un camión visto desde atrás?";"../images/centro-gravedad-04.png";"240";"Un centro de gravedad que cae fuera de la base de apoyo. El camión volcará.";"Un centro de gravedad que cae dentro de la base de apoyo. El camión no volcará.";"Un centro de gravedad que cae dentro de la base de apoyo. El camión volcará.";"Un centro de gravedad que cae fuera de la base de apoyo. El camión no volcará.";"";"";"es-mecan-estabilidad"
"¿Cuáles son los métodos para evitar el vuelco de una estructura?";"";"";"Añadir un contrapeso. Ampliar la base de apoyo. Bajar el centro de gravedad. Anclar la estructura al suelo.";"Añadir un contrapeso. Ampliar la base de apoyo. Bajar el centro de gravedad. Reforzar la estructura.";"Cambiar el material de la estructura. Ampliar la base de apoyo. Bajar el centro de gravedad. Anclar la estructura al suelo.";"Añadir un contrapeso. Ampliar la base de apoyo. Subir el centro de gravedad. Anclar la estructura al suelo.";"";"";"es-mecan-estabilidad"
"¿Cuál es una de las soluciones para evitar que una estructura vuelque?";"";"";"Añadir un contrapeso.";"Aumentar el peso de la parte superior.";"Cambiar el tipo de material de la estructura.";"Hacer a la estructura más rígida y resistente.";"";"";"es-mecan-estabilidad"
"¿Cuál es una de las soluciones para evitar que una estructura vuelque?";"";"";"Ampliar la base de apoyo.";"Reducir la base de apoyo.";"Ampliar el peso superior.";"Cambiar el tipo de material de la estructura.";"";"";"es-mecan-estabilidad"
"¿Cuál es una de las soluciones para evitar que una estructura vuelque?";"";"";"Bajar el centro de gravedad.";"Subir el centro de gravedad.";"Cambiar el tipo de material de la estructura.";"Ampliar el peso superior.";"";"";"es-mecan-estabilidad"
"¿Cuál es una de las soluciones para evitar que una estructura vuelque?";"";"";"Anclar la estructura al suelo.";"Anclar la estructura a un contrapeso.";"Cambiar el tipo de material de la estructura.";"Subir el centro de gravedad.";"";"";"es-mecan-estabilidad"
"Dame dos ejemplos de la utilización de un contrapeso para evitar el vuelco de una estructura.";"";"";"Contrapesos en grúas de obra o en camiones grúa.";"Contrapesos en coches de fórmula 1 y automóviles.";"Contrapesos en antenas de radio y televisión.";"Contrapesos en puentes oscilantes.";"";"";"es-mecan-estabilidad"
"Dame dos ejemplos de ampliación de la base de apoyo para evitar el vuelco de una estructura.";"";"";"Camión grúa con apoyos extensibles. Coche deportivo muy ancho.";"Antena con base de apoyo mayor.";"Automóviles deportivos con centro de gravedad bajo.";"Contrapesos en antenas de radio y televisión.";"";"";"es-mecan-estabilidad"
"Dame un ejemplo de bajar el centro de gravedad para evitar el vuelco de una estructura.";"";"";"Automóviles deportivos con centro de gravedad bajo.";"Antenas de radio con centro de gravedad bajo.";"Camión grúa con apoyos extensibles.";"Contrapesos en antenas de radio.";"";"";"es-mecan-estabilidad"
"Dame dos ejemplos de anclar la estructura al suelo para evitar el vuelco de una estructura.";"";"";"Cables de anclaje de una antena. Farola anclada al suelo.";"Cables de anclaje de un camión grúa y de un coche deportivo.";"Contrapesos en grúas de obra o en camiones grúa.";"Automóviles deportivos con centro de gravedad bajo.";"";"";"es-mecan-estabilidad"
"¿Qué tipo de barras y columnas sufren pandeo?";"";"";"Barras y columnas esbeltas sometidas a compresión.";"Barras y columnas esbeltas sometidas a tracción.";"Barras y columnas esbeltas sometidas a flexión.";"Barras y columnas gruesas sometidas a compresión.";"";"";"es-mecan-estabilidad"
"¿Qué representa esta imagen?";"../images/mecan-pandeo-01.png";"120";"Una columna esbelta sometida a compresión que falla por pandeo.";"Una columna esbelta sometida a tracción que falla por pandeo.";"Una columna esbelta sometida a flexión que falla por pandeo.";"Una columna esbelta sometida a compresión que falla por oscilación.";"";"";"es-mecan-estabilidad"
"¿En qué consiste el pandeo?";"";"";"Una columna esbelta sometida a compresión se dobla hasta romperse.";"Una columna esbelta sometida a compresión se dobla sin romperse.";"Una columna esbelta sometida a flexión se dobla hasta romperse.";"Una columna gruesa sometida a flexión se dobla hasta romperse.";"";"";"es-mecan-estabilidad"
"¿Cómo se soluciona el pandeo de una barra esbelta?";"";"";"Haciendo el perfil más grueso. Sujetando el centro de la barra.";"Haciendo el perfil más esbelto. Sujetando el centro de la barra.";"Haciendo el perfil más grueso. Sujetando la parte superior de la barra.";"Haciendo el perfil más esbelto. Sujetando la parte superior de la barra.";"";"";"es-mecan-estabilidad"
"Dame un ejemplo de cómo al hacer el perfil más grueso se soluciona el pandeo de las barras del cuadro de una bicicleta.";"";"";"Utilizar tubos gruesos y huecos, en vez de barras macizas y esbeltas.";"Utilizar perfiles cuadrados, en vez de perfiles redondos.";"Utilizar tubos gruesos y macizos, en vez de barras esbeltas y huecas.";"Utilizar perfiles redondos, en vez de perfiles cuadrados.";"";"";"es-mecan-estabilidad"
"Dame un ejemplo de perfil esbelto que pandea y otro perfil que no pandea, con el mismo material.";"";"";"Una barra maciza redonda pandeará, mientras que una barra con perfil en L de la misma masa, no pandeará.";"Una barra maciza redonda no pandeará, mientras que una barra con perfil en L de la misma masa, pandeará.";"Una barra maciza redonda pandeará, mientras que una barra con perfil redondo de la misma masa, no pandeará.";"Una barra con perfil en L pandeará, mientras que una barra maciza redonda de la misma masa, no pandeará.";"";"";"es-mecan-estabilidad"
"¿Qué soluciona hacer más grueso el perfil de una barra?";"";"";"Soluciona el problema del pandeo en una barra sometida a compresión.";"Soluciona el problema del pandeo en una barra sometida a tracción.";"Soluciona el problema del vuelco en una estructura.";"Soluciona el problema de las oscilaciones en una estructura.";"";"";"es-mecan-estabilidad"
"¿Qué soluciona sujetar el centro de una barra esbelta?";"";"";"Soluciona el problema del pandeo en una barra sometida a compresión.";"Soluciona el problema del pandeo en una barra sometida a tracción.";"Soluciona el problema del vuelco en una estructura.";"Soluciona el problema de las oscilaciones en una estructura.";"";"";"es-mecan-estabilidad"
"¿Qué le pasó al puente de Tacoma Narrows con el viento de otoño?";"";"";"Comenzó a oscilar hasta que se derrumbó por completo.";"Comenzó a oscilar un poco, sin afectar al tráfico.";"Pudo resistir el viento gracias a que estaba bien diseñado.";"El viento no afecta a las estructuras bien construidas.";"";"";"es-mecan-estabilidad"
"¿Qué es la frecuencia de resonancia de una estructura?";"";"";"Es la frecuencia a la que oscila la estructura de forma natural, como un columpio.";"Es la frecuencia de oscilación a la que se derrumba la estructura.";"Es la frecuencia de oscilación que refuerza la estructura.";"Las estructuras no tienen frecuencia de resonancia.";"";"";"es-mecan-estabilidad"
"¿Es verdad que los rascacielos oscilan durante un terremoto para evitar su colapso?";"";"";"Si, el extremo superior de un rascacielos puede oscilar más de un metro.";"Si, el extremo inferior de un rascacielos puede oscilar más de un metro.";"No, los rascacielos no oscilan nunca en ningún punto.";"No, porque si oscila un rascacielos se derrumbaría de inmediato.";"";"";"es-mecan-estabilidad"
"Las alas de un avión pueden doblarse varios centímetros en su extremo.";"";"";"Si, oscilan varios centímetros para adaptarse a las fuertes cargas.";"Si, oscilan varios metros para adaptarse a las fuertes cargas.";"No, las alas siempre permanecen rígidas sin doblarse nada.";"No, las alas no pueden doblarse porque se romperían.";"";"";"es-mecan-estabilidad"
"¿Qué soluciones hay para evitar las oscilaciones excesivas en las estructuras?";"";"";"Evitar cargas oscilantes. Amortiguar la estructura.";"Amortiguar la estructura. Construir la estructura más rígida.";"Evitar cargas oscilantes. Construir la estructura más rígida.";"No hay ninguna solución para evitar las oscilaciones excesivas en las estructuras.";"";"";"es-mecan-estabilidad"
"¿Qué es un amortiguador en una estructura?";"";"";"Es un elemento que absorbe la energía de las oscilaciones y reduce la resonancia.";"Es un elemento que evita el pandeo de las estructuras y reduce la resonancia.";"Es un elemento que evita el vuelco de las estructuras y reduce la resonancia.";"Es un elemento que absorbe el exceso de humedad en las estructuras para evitar que se oxiden.";"";"";"es-mecan-estabilidad"
"¿Qué problemas de estabilidad pueden tener las estructuras?";"";"";"Vuelco, pandeo y oscilaciones.";"Vuelco, centro de gravedad y oscilaciones.";"Vuelco, pandeo y amortiguación.";"Vuelco, esbeltez y amortiguación.";"";"";"es-mecan-estabilidad"
"¿Qué solución al vuelco presenta el camión de la imagen?";"../images/mecan-camion-grua-bomberos.jpg";"360";"Ampliar la base de apoyo.";"Bajar el centro de gravedad.";"Añadir un contrapeso.";"Anclar la estructura al suelo.";"";"";"es-mecan-estabilidad"
"¿Qué solución al vuelco presenta el automóvil de la imagen?";"../images/mecan-coche-carreras.jpg";"360";"Bajar el centro de gravedad.";"Ampliar la base de apoyo.";"Añadir un contrapeso.";"Anclar la estructura al suelo.";"";"";"es-mecan-estabilidad"
