Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué es una fuerza externa que actúa sobre una estructura?";"";"";"Una carga.";"Un esfuerzo.";"Una tracción.";"Una tensión.";"";"";"es-mecan-esfuerzos"
"¿Cuál es la definición de carga en una estructura?";"";"";"Es una fuerza externa que actúa sobre una estructura.";"Tensión o fuerza interna que soporta una estructura.";"Esfuerzo interno a una estructura.";"Tracción, compresión, flexión, torsión o corte.";"";"";"es-mecan-esfuerzos"
"¿Qué es una tensión o fuerza interna que soporta una estructura?";"";"";"Un esfuerzo.";"Una carga.";"Una dilatación térmica.";"Un peso.";"";"";"es-mecan-esfuerzos"
"¿Cuál es la definición de esfuerzo en una estructura?";"";"";"Tensión o fuerza interna que soporta una estructura.";"Es una fuerza externa que actúa sobre una estructura.";"Puede ser un peso, un empuje, una dilatación térmica, etc.";"Trabajo que realiza una persona al estudiar.";"";"";"es-mecan-esfuerzos"
"¿Qué hace el esfuerzo de tracción?";"";"";"Tiende a estirar la estructura.";"Tiende a comprimir la estructura.";"Tiende a doblar la estructura.";"Tiende a retorcer la estructura.";"";"";"es-mecan-esfuerzos"
"¿Qué hace el esfuerzo de compresión?";"";"";"Tiende a comprimir la estructura.";"Tiende a estirar la estructura.";"Tiende a doblar la estructura.";"Tiende a retorcer la estructura.";"";"";"es-mecan-esfuerzos"
"¿Qué hace el esfuerzo de flexión?";"";"";"Tiende a doblar la estructura.";"Tiende a comprimir la estructura.";"Tiende a estirar la estructura.";"Tiende a retorcer la estructura.";"";"";"es-mecan-esfuerzos"
"¿Qué hace el esfuerzo de torsión?";"";"";"Tiende a retorcer la estructura.";"Tiende a doblar la estructura.";"Tiende a comprimir la estructura";"Tiende a cortar en dos la estructura.";"";"";"es-mecan-esfuerzos"
"¿Qué hace el esfuerzo de corte o cizalla?";"";"";"Tiende a cortar en dos la estructura.";"Tiende a retorcer la estructura.";"Tiende a doblar la estructura.";"Tiende a comprimir la estructura.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo tiende a estirar una estructura?";"";"";"Esfuerzo de tracción.";"Esfuerzo de compresión.";"Esfuerzo de flexión.";"Esfuerzo cortante.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo tiende a comprimir una estructura?";"";"";"Esfuerzo de compresión.";"Esfuerzo de tracción.";"Esfuerzo de flexión.";"Esfuerzo cortante.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo tiende a doblar una estructura?";"";"";"Esfuerzo de flexión.";"Esfuerzo de tracción.";"Esfuerzo de compresión.";"Esfuerzo cortante.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo tiende a retorcer una estructura?";"";"";"Esfuerzo de torsión.";"Esfuerzo de compresión.";"Esfuerzo de flexión.";"Esfuerzo cortante.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo tiende a cortar una estructura?";"";"";"Esfuerzo de cizalla.";"Esfuerzo de tracción.";"Esfuerzo de compresión.";"Esfuerzo de flexión.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo representa la figura?";"../images/esfuerzo-traccion.png";"360";"Esfuerzo de tracción.";"Esfuerzo de compresión.";"Esfuerzo de flexión.";"Esfuerzo cortante.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo representa la figura?";"../images/esfuerzo-compresion.png";"360";"Esfuerzo de compresión.";"Esfuerzo de tracción.";"Esfuerzo de flexión.";"Esfuerzo de torsión.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo representa la figura?";"../images/esfuerzo-flexion.png";"360";"Esfuerzo de flexión.";"Esfuerzo de tracción.";"Esfuerzo de torsión.";"Esfuerzo cortante.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo representa la figura?";"../images/esfuerzo-torsion.png";"360";"Esfuerzo de torsión.";"Esfuerzo de compresión.";"Esfuerzo de flexión.";"Esfuerzo cortante.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo representa la figura?";"../images/esfuerzo-cortante.png";"360";"Esfuerzo cortante.";"Esfuerzo de compresión.";"Esfuerzo de flexión.";"Esfuerzo de torsión.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo soporta una cadena de columpio?";"";"";"Esfuerzo de tracción.";"Esfuerzo cortante.";"Esfuerzo de flexión.";"Esfuerzo de torsión.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo soporta el cable de una grúa?";"";"";"Esfuerzo de tracción.";"Esfuerzo cortante.";"Esfuerzo de flexión.";"Esfuerzo de torsión.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo soportan las patas de una silla?";"";"";"Esfuerzo de compresión.";"Esfuerzo cortante.";"Esfuerzo de flexión.";"Esfuerzo de torsión.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo soportan las columnas de un edificio?";"";"";"Esfuerzo de compresión.";"Esfuerzo cortante.";"Esfuerzo de flexión.";"Esfuerzo de torsión.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo soporta el suelo de un edificio?";"";"";"Esfuerzo de flexión.";"Esfuerzo de compresión.";"Esfuerzo cortante.";"Esfuerzo de torsión.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo soporta el tablero de una mesa?";"";"";"Esfuerzo de flexión.";"Esfuerzo de compresión.";"Esfuerzo cortante.";"Esfuerzo de torsión.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo soporta el eje de un destornillador?";"";"";"Esfuerzo de torsión.";"Esfuerzo de flexión.";"Esfuerzo de tracción.";"Esfuerzo cortante.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo soporta el eje de un grifo?";"";"";"Esfuerzo de torsión.";"Esfuerzo de flexión.";"Esfuerzo de tracción.";"Esfuerzo cortante.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo tiene el tornillo de pared que soporta un cuadro?";"";"";"Esfuerzo cortante.";"Esfuerzo de torsión.";"Esfuerzo de flexión.";"Esfuerzo de tracción.";"";"";"es-mecan-esfuerzos"
"¿Qué esfuerzo soporta una viga horizontal apoyada en otra vertical?";"";"";"Esfuerzo cortante.";"Esfuerzo de torsión.";"Esfuerzo de flexión.";"Esfuerzo de tracción.";"";"";"es-mecan-esfuerzos"
"Dame dos ejemplos de esfuerzos de tracción.";"";"";"Cadenas de un columpio. Cable de una grúa.";"Patas de una silla. Columnas de un edificio.";"Tablero de una silla. Suelo de edificios.";"Eje de un destornillador. Llave al girar.";"Tornillo que soporta un cuadro. Viga horizontal sobre viga vertical.";"";"es-mecan-esfuerzos"
"Dame dos ejemplos de esfuerzos de compresión.";"";"";"Patas de una silla. Columnas de un edificio.";"Cadenas de un columpio. Cable de una grúa.";"Tablero de una silla. Suelo de edificios.";"Eje de un destornillador. Llave al girar.";"Tornillo que soporta un cuadro. Viga horizontal sobre viga vertical.";"";"es-mecan-esfuerzos"
"Dame dos ejemplos de esfuerzos de flexión.";"";"";"Tablero de una silla. Suelo de edificios.";"Patas de una silla. Columnas de un edificio.";"Cadenas de un columpio. Cable de una grúa.";"Eje de un destornillador. Llave al girar.";"Tornillo que soporta un cuadro. Viga horizontal sobre viga vertical.";"";"es-mecan-esfuerzos"
"Dame dos ejemplos de esfuerzos de torsión.";"";"";"Eje de un destornillador. Llave al girar.";"Tablero de una silla. Suelo de edificios.";"Patas de una silla. Columnas de un edificio.";"Cadenas de un columpio. Cable de una grúa.";"Tornillo que soporta un cuadro. Viga horizontal sobre viga vertical.";"";"es-mecan-esfuerzos"
"Dame dos ejemplos de esfuerzos de corte o cizalla.";"";"";"Tornillo que soporta un cuadro. Viga horizontal sobre viga vertical.";"Eje de un destornillador. Llave al girar.";"Tablero de una silla. Suelo de edificios.";"Patas de una silla. Columnas de un edificio.";"Cadenas de un columpio. Cable de una grúa.";"";"es-mecan-esfuerzos"
