Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué es una estructura?";"";"";"Conjunto de elementos que soportan esfuerzos sin romperse ni deformarse.";"Conjunto de elementos que soportan esfuerzos.";"Conjunto de elementos que soportan roturas y deformaciones.";"Conjunto de elementos que soportan esfuerzos de la naturaleza o artificiales.";"";"";"es-mecan-structures"
"¿Qué estructuras podemos encontrar en la naturaleza?";"";"";"Tronco de un árbol, caparazón de tortuga, esqueleto humano, conchas de moluscos, nido de pájaro.";"Puente colgante, estructura de un edificio, carcasa de ordenador, grúa de obra, muralla.";"Ríos y lagos, nubes, lluvia, mares, arena, lava, viento, tierra, piedras.";"Metales, agua, gas natural, vapor, luz solar, sal, hielo, minerales, cenizas volcánicas, ámbar.";"";"";"es-mecan-structures"
"¿Qué estructuras son artificiales?";"";"";"Puente colgante, estructura de un edificio, carcasa de ordenador, grúa de obra, muralla.";"Tornillo, tuerca, palanca, engranaje, cadena, polea y polipasto, plano inclinado, ruedas.";"Fibra de vidrio, hormigón armado, barras de acero, fibra de carbono, plásticos, vidrio, porcelana.";"Tronco de un árbol, caparazón de tortuga, esqueleto humano, conchas de moluscos, nido de pájaro.";"";"";"es-mecan-structures"
"Las estructuras masivas están ...";"../images/estructuras-presa.jpg";"360";"Formadas por una gran masa de material sin apenas huecos.";"Formadas por arcos y bóvedas.";"Formadas por elementos verticales y horizontales.";"Formadas por cables que soportan las cargas masivas.";"";"";"es-mecan-structures"
"Las estructuras abovedadas están ...";"../images/estructuras-acueducto.jpg";"360";"Formadas por arcos y bóvedas.";"Formadas por una gran masa de material sin apenas huecos.";"Formadas por elementos verticales y horizontales.";"Formadas por cables que soportan las cargas.";"";"";"es-mecan-structures"
"Las estructuras trianguladas están ...";"../images/estructuras-puente-triangulado.jpg";"360";"Formadas por barras unidas entre sí en triángulos.";"Formadas por elementos verticales y horizontales.";"Formadas por una lámina o pared delgada.";"Formadas por cables que soportan las cargas.";"";"";"es-mecan-structures"
"Las estructuras entramadas están ...";"../images/estructuras-grua-portico.jpg";"360";"Formadas por elementos verticales y horizontales.";"Formadas por barras unidas entre sí en triángulos.";"Formadas por una lámina o pared delgada.";"Formadas por cables que soportan las cargas.";"";"";"es-mecan-structures"
"Las estructuras colgantes están ...";"../images/estructuras-puente-colgante.jpg";"360";"Formadas por cables que soportan las cargas.";"Formadas por elementos verticales y horizontales.";"Formadas por barras unidas entre sí en triángulos.";"Formadas por una lámina o pared delgada.";"";"";"es-mecan-structures"
"Las estructuras laminares están ...";"../images/estructuras-casco.jpg";"360";"Formadas por una lámina o pared delgada.";"Formadas por cables que soportan las cargas.";"Formadas por elementos verticales y horizontales.";"Formadas por barras unidas entre sí en triángulos.";"";"";"es-mecan-structures"
"Ejemplos de estructuras masivas son ...";"";"";"Presa de agua. Pirámide. Murallas.";"Techo de catedral gótica. Puente romano. Acueducto. Panteón de Roma.";"Grúa de obra. Torre Eiffel. Torre de alta tensión.";"Estructura de edificio. Sillas y mesas. Escalera de mano.";"";"";"es-mecan-structures"
